ZIPCODE,AREA,SHAPE_ar_1,ParkInZipA,Error
10459,22551940.54,56458.38579,56458.39844,0
10459,22551940.54,49834.25201,49834.30078,0
10451,28944106.52,1899411.157,888060,1011351
10451,28944106.52,122128.9168,122129,0
10451,28944106.52,5498.550969,5498.549805,0
10451,28944106.52,31130.72506,31130.69922,0
10451,28944106.52,46937.15052,46937.19922,0
10451,28944106.52,2069.938253,2069.939941,0
10451,28944106.52,179416.2523,179416,0
10451,28944106.52,7404.061234,7404.060059,0
10451,28944106.52,11068.14928,11068.09961,0
10451,28944106.52,32299.78752,32299.80078,0
10451,28944106.52,2416.16389,2416.159912,0
10451,28944106.52,25846.01816,25846,0
10451,28944106.52,5088.728821,5088.729981,0
10451,28944106.52,9951.334868,9951.330078,0
10451,28944106.52,7694.43704,7694.439941,0
10451,28944106.52,674464.0188,578648,95816
10451,28944106.52,373761.7814,240125,133637
10451,28944106.52,669476.2522,669476,0
10451,28944106.52,269755.2242,269755,0
10451,28944106.52,36078.54679,36078.5,0
10451,28944106.52,29677.3651,29677.40039,0
10451,28944106.52,11956.65583,11956.7002,0
10451,28944106.52,2801.021178,2801.02002,0
10451,28944106.52,8188.962131,8188.959961,0
10451,28944106.52,5055.398389,5055.399902,0
10451,28944106.52,4585.00841,4585.009766,0
10473,59522354.54,47504.32213,47056.30078,448
10473,59522354.54,22178.61647,22178.59961,0
10473,59522354.54,54051.30243,54051.30078,0
10473,59522354.54,216.9918483,216.9920044,0
10473,59522354.54,303.0594417,151.5059967,152
10473,59522354.54,6288012.279,598367,5689645
10473,59522354.54,373469.1253,286421,87048
10473,59522354.54,3645614.383,2611250,1034364
10473,59522354.54,54452.02046,54452,0
10473,59522354.54,110578.9214,110579,0
10473,59522354.54,81108.45239,81108.5,0
10473,59522354.54,45475.14651,45141.80078,333
10473,59522354.54,6123.036525,6123.040039,0
10473,59522354.54,11717465.87,6779340,4938126
10473,59522354.54,852.3181561,852.3179932,0
10473,59522354.54,12124.57647,12124.59961,0
10473,59522354.54,43533.14865,43533.10156,0
10473,59522354.54,97884.67186,97884.70313,0
10030,7757661.455,83006.88316,24514.40039,58492
10030,7757661.455,1736.741631,1736.73999,0
10030,7757661.455,4976.501456,4976.5,0
10030,7757661.455,66101.56418,66101.60156,0
10030,7757661.455,4727.685289,4727.689941,0
10030,7757661.455,7033.108798,7033.109863,0
10030,7757661.455,12217.46533,12217.5,0
10030,7757661.455,31592.26695,31592.30078,0
10027,24695278.5,18647.34076,18647.30078,0
