block,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
6194    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6192    ,10,8,10,4,0,0,0,0,0,5,13,8,0,0,0,0,0,0,0,0,0,0,0
6191    ,12,8,6,1,0,0,0,0,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0
6190    ,8,3,2,0,0,0,0,0,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0
6189    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6188    ,60,60,55,25,7,4,2,0,8,32,50,42,20,3,1,0,0,0,0,0,0,0,0
6187    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6186    ,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6185    ,3,4,3,2,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0
6184    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6183    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6182    ,3,2,2,1,1,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
6181    ,5,11,6,2,1,0,0,0,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0
6180    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6179    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6178    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6177    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6176    ,36,29,20,8,2,0,0,1,12,20,11,5,2,0,1,0,0,0,0,0,0,0,0
6175    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6174    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6173    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6172    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6171    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6170    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6169    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6168    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6167    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6166    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6165    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6164    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6163    ,0,0,0,0,15,5,3,18,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
6162    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6161    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6160    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6159    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6158    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6157    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6156    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6155    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6154    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6153    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6152    ,0,0,0,0,4,13,6,22,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0
6151    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6150    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6149    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6148    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6147    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6146    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6145    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6143    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6141    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6140    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6139    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6138    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6137    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6136    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6135    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6134    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6133    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6132    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6131    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6130    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6129    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6128    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6127    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6126    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6125    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6124    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6123    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6122    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
6121    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6120    ,1,1,3,1,1,0,0,0,2,0,2,1,2,3,3,0,4,0,3,0,0,1,1
6119    ,0,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0
6118    ,0,0,4,2,1,0,0,0,1,0,1,1,2,6,5,1,1,1,5,3,0,1,0
6117    ,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
6116    ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6115    ,0,0,2,0,0,0,0,0,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0
6114    ,2,3,2,1,1,2,2,0,1,2,3,2,2,3,2,1,2,0,1,0,1,0,0
6113    ,1,2,2,2,0,0,0,0,0,0,2,2,1,1,3,0,0,1,1,3,1,0,0
6112    ,0,0,1,1,2,0,0,2,4,0,2,2,3,4,4,2,2,2,2,5,5,10,16
6111    ,3,3,1,0,4,0,1,0,1,0,3,1,3,0,3,0,1,3,1,0,0,0,1
6110    ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6109    ,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,0,1,2,0,0,2
6108    ,2,2,0,0,1,0,1,0,0,3,1,0,4,1,0,0,1,0,0,1,0,0,0
6107    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6106    ,2,1,1,1,1,0,0,1,3,1,2,3,4,4,4,1,1,0,0,2,2,0,0
6105    ,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
6104    ,1,5,2,0,1,0,0,1,2,3,2,3,0,1,2,0,1,0,0,2,0,0,0
6103    ,2,1,0,0,0,0,0,0,2,1,0,1,1,0,2,0,1,0,0,0,2,1,0
6102    ,5,10,8,3,0,3,3,6,12,7,6,10,13,10,9,4,9,2,5,5,6,3,3
6101    ,1,1,1,1,1,0,0,2,0,2,1,0,0,1,1,0,2,0,0,1,0,0,2
6100    ,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1
6099    ,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
6098    ,2,3,1,5,1,0,0,1,3,4,3,4,6,3,4,0,1,0,1,4,1,1,1
6097    ,0,0,1,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
6096    ,1,7,3,2,2,1,0,2,2,2,3,4,9,7,6,1,4,4,0,1,1,1,2
6095    ,1,0,1,1,0,0,0,3,4,0,0,1,1,1,1,0,0,1,1,0,0,0,0
6094    ,1,0,0,2,1,0,0,0,1,0,1,1,1,2,1,0,2,1,1,0,0,1,0
6093    ,0,3,1,1,0,0,0,0,2,1,1,1,4,2,0,0,2,0,1,1,1,1,0
6092    ,3,5,6,7,0,1,0,2,6,3,2,8,5,5,3,1,1,1,0,0,1,2,0
6091    ,3,10,4,0,0,2,1,2,2,1,8,4,7,1,5,1,1,1,0,3,0,0,1
6090    ,0,1,0,0,1,0,0,0,1,2,0,1,0,2,1,0,1,0,0,0,0,0,1
6089    ,4,0,4,2,5,0,0,0,6,0,2,3,5,4,2,1,2,0,3,2,1,2,0
6088    ,3,2,4,1,1,1,0,0,0,1,2,8,7,2,2,0,1,1,0,0,0,0,0
6087    ,7,5,4,4,2,0,0,1,2,1,4,5,4,3,3,2,0,1,1,3,1,0,0
6086    ,0,3,5,3,0,1,1,2,2,2,3,4,5,4,1,3,2,2,1,0,0,1,0
6085    ,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,1
6084    ,6,8,6,5,0,1,0,4,4,3,11,6,8,3,4,2,3,1,4,3,4,2,3
6083    ,5,6,1,1,0,0,0,1,2,4,1,7,2,4,2,2,1,0,1,1,1,0,1
6082    ,0,0,0,0,0,1,0,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0
6081    ,0,4,2,2,0,0,0,0,0,0,0,6,6,2,1,1,0,1,0,1,0,0,1
6080    ,1,5,9,4,0,0,1,0,2,2,1,6,8,4,0,0,4,0,1,0,0,0,0
6079    ,2,0,1,1,0,0,1,0,0,1,0,2,4,2,1,0,0,0,0,0,2,0,0
6078    ,5,5,8,2,3,0,0,3,2,1,4,3,9,3,3,1,1,2,1,2,3,0,0
6077    ,1,4,7,1,0,0,0,0,3,0,3,3,6,4,3,1,1,2,1,3,2,2,1
6076    ,0,3,3,1,1,1,3,1,0,0,1,6,3,2,6,2,3,0,1,2,0,0,1
6075    ,0,2,1,0,1,0,0,22,18,6,18,20,6,2,5,0,2,2,0,1,0,1,0
6074    ,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,0,0
