BBLE,Market_Value
1000161772,366437
1000161773,261740
1000161774,251271
1000161775,387376
1000161776,261740
1000161777,261740
1000161778,251271
1000161779,345497
1000161780,450193
1000161781,387376
1000161782,481602
1000161783,387376
1000161784,230332
1000161785,366437
1000161786,261740
1000161787,251271
1000161788,387376
1000161789,261740
1000161790,261740
1000161791,251271
1000161792,345497
1000161793,450193
1000161794,387376
1000161795,481602
1000161796,387376
1000161797,230332
1000161798,366437
1000161799,261740
1000161800,251271
1000161801,387376
1000161802,261740
1000161803,261740
1000161804,251271
1000161805,345497
1000161806,450193
1000161807,387376
1000161808,481602
1000161809,387376
1000161810,230332
1000161811,554890
1000161812,198923
1000161813,397845
1000161814,492072
1000161815,481602
1000161816,387376
1000161817,230332
1000161818,366437
1000161819,418785
1000161820,397845
1000161821,492072
1000161822,481602
1000161823,387376
1000161824,230332
1000161825,366437
1000161826,418785
1000161827,397845
1000161828,492072
1000161829,481602
1000161830,387376
1000161831,607238
1000161832,418785
1000161833,397845
1000161834,492072
1000161835,481602
1000161836,387376
1000161837,230332
1000161838,376906
1000161839,418785
1000161840,397845
1000161841,492072
1000161842,481602
1000161843,387376
1000161844,230332
1000161845,376906
1000161846,418785
1000161847,397845
1000161848,492072
1000161849,481602
1000161850,387376
1000161851,230332
1000161852,376906
1000161853,418785
1000161854,397845
1000161855,492072
1000161856,481602
1000161857,387376
1000161858,230332
1000161859,376906
1000161860,418785
1000161861,397845
1000161862,492072
1000161863,481602
1000161864,387376
1000161865,230332
1000161866,376906
1000161867,418785
1000161868,397845
1000161869,492072
1000161870,481602
1000161871,387376
1000161872,230332
1000161873,376906
1000161874,429254
1000161875,397845
1000161876,492072
1000161877,481602
1000161878,387376
1000161879,230332
1000161880,376906
1000161881,429254
1000161882,397845
1000161883,492072
1000161884,481602
1000161885,387376
1000161886,230332
1000161887,376906
1000161888,429254
1000161889,397845
1000161890,492072
1000161891,481602
1000161892,387376
1000161893,492072
1000161894,533950
1000161895,397845
1000161896,492072
1000161897,481602
1000161898,387376
1000161899,492072
1000161900,533950
1000161901,397845
1000161902,492072
1000161903,481602
1000161904,387376
1000161905,492072
1000161906,533950
1000161907,397845
1000161908,492072
1000161909,481602
1000161910,387376
1000161911,492072
1000161912,533950
1000161913,397845
1000161914,492072
1000161915,481602
1000161916,387376
1000161917,492072
1000161918,533950
1000161919,397845
1000161920,492072
1000161921,481602
1000161922,387376
1000161923,1026022
1000161925,397845
1000161926,492072
1000161927,481602
1000161928,387376
1000161929,492072
1000161930,533950
1000161931,397845
1000161932,492072
1000161933,481602
1000161934,387376
1000161935,492072
1000161936,533950
1000161937,397845
1000161938,492072
1000161939,481602
1000161940,387376
1000161941,1026022
1000161943,408315
1000161944,502541
1000161945,481602
1000161946,387376
1000161947,492072
1000161948,670055
1000161949,764282
1000161950,523481
1000161951,387376
1000161952,994613
1000161953,889917
1000162001,778515
1000162002,155685
1000162003,232051
1000162004,202457
1000162005,204275
1000162006,344925
1000162007,235628
1000162008,206068
1000162009,207852
1000162010,349419
1000162011,147834
1000162012,182764
1000162013,183650
1000162014,181881
1000162015,146023
1000162016,237424
1000162017,207852
1000162018,209664
1000162019,358373
1000162020,151411
1000162021,189039
1000162022,189039
1000162023,187269
1000162024,180960
1000162025,143344
1000162026,147834
1000162027,137986
1000162028,239209
1000162029,209664
1000162030,211426
1000162031,363758
1000162032,153215
1000162033,192612
1000162034,191729
1000162035,189933
1000162036,189039
1000162037,146023
1000162038,149596
1000162039,139763
1000162040,241008
1000162041,211426
1000162042,213233
1000162043,369108
1000162044,155000
1000162045,195306
1000162046,194427
1000162047,192612
1000162048,191729
1000162049,147834
1000162050,151411
1000162051,141567
1000162052,244589
1000162053,220391
1000162054,222195
1000162055,374497
1000162056,156807
1000162057,198004
1000162058,197114
1000162059,195306
1000162060,194427
1000162061,149596
1000162062,153215
1000162063,143344
1000162064,254430
1000162065,225772
1000162066,227575
1000162067,379877
1000162068,185454
1000162069,228462
1000162070,258928
1000162071,229353
1000162072,231171
1000162073,385262
1000162074,167527
1000162075,208739
1000162076,263395
1000162077,232930
1000162078,234737
1000162079,390605
1000162080,169338
1000162081,211426
1000162082,267897
1000162083,236514
1000162084,238314
1000162085,395997
1000162086,171112
1000162087,214116
1000162088,272357
1000162089,240122
1000162090,241888
1000162091,401378
1000162092,172915
1000162093,216814
1000162094,276821
1000162095,243706
1000162096,245472
1000162097,406736
1000162098,174696
1000162099,219504
1000162100,281319
1000162101,247272
1000162102,249079
1000162103,412120
1000162104,176489
1000162105,222195
1000162106,284017
1000162107,417501
1000162108,178307
1000162109,224893
1000162110,797374
1000162111,627157
1000162112,515165
1000162113,519640
1000162114,519640
1000162115,519640
1000162116,510675
1000162117,501706
1000162118,166652
1000162119,183650
1000162120,184571
1000162121,184571
1000162122,184571
1000162123,180960
1000162124,169338
1000162125,186348
1000162126,187269
1000162127,187269
1000162128,187269
1000162129,183650
1000162130,172032
1000162131,189039
1000162132,189933
1000162133,189933
1000162134,189933
1000162135,186348
1000162200,439000
1000162201,285893
1000162202,192192
1000162203,184339
1000162204,246485
1000162205,176458
1000162206,217850
1000162207,218843
1000162208,142918
1000162209,205971
1000162210,183347
1000162211,186295
1000162212,249405
1000162213,178414
1000162214,219806
1000162215,216858
1000162216,143910
1000162217,207984
1000162218,185303
1000162219,188252
1000162220,252354
1000162221,180398
1000162222,221848
1000162223,218843
1000162224,144874
1000162225,209997
1000162226,187288
1000162227,190236
1000162228,255330
1000162229,182355
1000162230,223832
1000162231,220855
1000162232,145867
1000162233,211953
1000162234,189244
1000162235,192192
1000162236,258279
1000162237,184339
1000162238,225789
1000162239,222840
1000162240,146859
1000162241,213909
1000162242,191229
1000162243,194149
1000162244,379537
1000162245,340157
1000162246,230722
1000162247,152784
1000162248,219806
1000162249,193156
1000162250,196133
1000162251,383563
1000162252,344126
1000162253,232678
1000162254,154741
1000162255,221848
1000162256,195141
1000162257,198118
1000162258,387504
1000162259,348039
1000162260,234663
1000162261,156754
1000162262,223832
1000162263,197126
1000162264,204979
1000162265,397313
1000162266,351951
1000162267,236619
1000162268,158710
1000162269,228737
1000162270,204015
1000162271,207020
1000162272,401254
1000162273,355920
1000162274,238575
1000162275,160694
1000162276,230722
1000162277,205971
1000162278,209005
1000162279,405223
1000162280,359861
1000162281,240560
1000162282,162679
1000162283,232678
1000162284,207984
1000162285,210961
1000162286,409135
1000162287,363802
1000162288,242516
1000162289,290826
1000162290,212946
1000162291,413076
1000162292,367714
1000162293,169096
1000162294,237611
1000162295,214902
1000162296,419002
1000162297,258493
1000162298,246485
1000162299,240560
1000162300,220855
1000162301,430852
1000162302,379537
1000162303,253346
1000162304,246485
1000162305,440662
1000162306,488008
1000162307,562005
1000162308,515014
1000162309,557100
1000162401,491990
1000162402,202444
1000162403,203478
1000162404,149550
1000162405,172947
1000162406,172947
1000162407,225853
1000162408,180082
1000162409,179043
1000162410,180082
1000162411,205519
1000162412,335724
1000162413,203478
1000162414,194299
1000162415,189216
1000162416,209571
1000162417,201446
1000162418,156685
1000162419,166846
1000162420,173952
1000162421,173952
1000162422,227881
1000162423,181088
1000162424,180082
1000162425,181088
1000162426,209571
1000162427,338767
1000162428,205519
1000162429,195358
1000162430,191273
1000162431,211611
1000162432,202444
1000162433,157691
1000162434,167856
1000162435,174991
1000162436,174991
1000162437,229925
1000162438,182118
1000162439,181088
1000162440,182118
1000162441,211611
1000162442,341821
1000162443,207547
1000162444,196356
1000162445,193289
1000162446,213656
1000162447,203478
1000162448,158697
1000162449,168849
1000162450,176005
1000162451,176005
1000162452,232975
1000162453,183116
1000162454,182118
1000162455,183116
1000162456,215684
1000162457,347954
1000162458,209571
1000162459,197353
1000162460,195358
1000162461,215684
1000162462,204480
1000162463,159736
1000162464,169909
1000162465,177032
1000162466,177032
1000162467,245185
1000162468,184134
1000162469,183116
1000162470,184134
1000162471,217691
1000162472,351973
1000162473,211611
1000162474,198375
1000162475,197353
1000162476,217691
1000162477,205519
1000162478,160746
1000162479,170915
1000162480,178033
1000162481,178033
1000162482,248231
1000162483,185177
1000162484,184134
1000162485,185177
1000162486,219748
1000162487,356067
1000162488,213656
1000162489,199402
1000162490,199402
1000162491,219748
1000162492,206529
1000162493,161764
1000162494,171941
1000162495,179043
1000162496,179043
1000162497,251294
1000162498,186174
1000162499,185177
1000162500,186174
1000162501,221792
1000162502,360147
1000162503,215684
1000162504,200445
1000162505,201446
1000162506,221792
1000162507,207547
1000162508,162757
1000162509,561300
1000162510,737710
1000162601,209000
1000162602,289023
1000162603,291613
1000162604,287287
1000162605,289023
1000162606,294184
1000162607,292504
1000162608,288197
1000162609,295080
1000162610,291613
1000162611,296751
1000162612,302808
1000162613,299336
1000162614,305398
1000162615,301912
1000162616,307955
1000162617,305398
1000162618,310536
1000162619,307955
1000162620,312290
1000162621,310536
1000162622,315688
1000162623,321740
1000162624,267496
1000162625,276157
1000162626,270982
1000162627,276974
1000162628,278724
1000162629,279564
1000162630,283040
1000162631,199561
1000162632,200456
1000162633,201287
1000162634,203046
1000162635,203863
1000162636,204699
1000162637,205585
1000162638,206458
1000162639,207275
1000162640,209020
1000162641,209934
1000162642,210770
1000162643,200456
1000162644,211600
1000162645,220224
1000162646,180605
1000162647,181510
1000162648,176349
1000162649,181510
1000162650,182346
1000162651,183255
1000162652,185836
1000162653,186667
1000162654,184931
1000162655,185836
1000162656,186667
1000162657,187498
1000162658,188407
1000162659,189247
1000162660,190069
1000162661,190974
1000162662,191837
1000162663,192654
1000162664,193564
1000162665,204699
1000162666,195221
1000162667,203863
1000162668,184091
1000162669,195221
1000162670,190069
1000162671,196135
1000162672,196975
1000162673,197876
1000162674,199561
1000162675,215086
1000162676,203046
1000162677,203863
1000162678,204699
1000162679,205585
1000162680,206458
1000162681,207275
1000162682,208189
1000162683,209020
1000162684,209934
1000162685,210770
1000162686,215086
1000162687,215912
1000162688,216748
1000162689,217667
1000162690,401850
1000162691,169452
1000162692,177217
1000162693,172042
1000162694,177217
1000162695,178034
1000162696,178925
1000162697,181510
1000162698,242572
1000162699,226221
1000162700,226221
1000162701,227121
1000162702,228810
1000162703,229702
1000162704,229702
1000162705,231363
1000162706,232287
1000162707,233113
1000162708,233949
1000162709,238260
1000162710,239179
1000162711,240841
1000162712,240841
1000162713,311367
1000162714,259778
1000162715,260604
1000162716,259778
1000162717,261523
1000162718,262358
1000162719,266670
1000162720,190069
1000162721,190974
1000162722,191837
1000162723,192654
1000162724,193564
1000162725,194395
1000162726,196135
1000162727,196975
1000162728,198693
1000162729,199561
1000162730,200456
1000162731,201287
1000162732,202123
1000162733,203046
1000162734,203863
1000162735,295080
1000162736,176349
1000162737,178034
1000162738,178925
1000162739,178034
1000162740,178925
1000162741,179774
1000162742,180605
1000162743,383740
1000162744,349259
1000162745,350985
1000162746,352675
1000162747,354415
1000162748,356156
1000162749,357901
1000162750,360561
1000162751,362143
1000162752,363123
1000162753,366534
1000162754,367309
1000162755,369040
1000162756,370869
1000162757,372596
1000162758,462829
1000162759,184931
1000162760,184091
1000162761,184931
1000162762,185836
1000162763,186667
1000162764,187498
1000162765,188407
1000162766,461144
1000162767,390646
1000162768,398281
1000162769,401850
1000162770,406009
1000162771,409578
1000162772,413844
1000162773,418095
1000162774,421581
1000162775,773340
1000162776,430107
1000162777,433639
1000162778,437895
1000162779,442147
1000162780,445683
1000162781,513587
1000162782,155690
1000162783,156595
1000162784,157421
1000162785,158248
1000162786,159167
1000162787,160011
1000162788,160833
1000162789,324339
1000162790,326915
1000162791,329473
1000162792,332049
