X,Y,GISPROPNUM,LOCATION,WATERFRONT,SIGNNAME,BOROUGH,COMFORTSTA,TYPECATEGO,EAPPLY,SHAPE_area,SHAPE_len,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
980364.159667020547204,164848.596843274310231,B282,"80 St. To 81 St., 11 Ave. To 12 Ave.",N,Patrick O'Rourke Park,B,N-CONFSTA-PARK,Jointly Operated Playground,Patrick O'Rourke Park (PS 201),53593.64144460000,1073.04089287000,11228,B5,G6350,S
998253.261841193772852,181018.60122907278128,B284,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",N,Marc And Jason's Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Marc And Jason's Playground (JHS 61),57797.90975200000,1236.18156290000,11225,B5,G6350,S
1005569.932795980595984,173700.195289870665874,B285,"Ave. D, Ditmas Ave. bet. E. 56 St. and E. 57 St.",N,Harry Maze Playground,B,Y-CONFSTA-PARK,Neighborhood Park,Harry Maze Playground,103405.68072999999,1455.16745328000,11203,B5,G6350,S
999114.113583967322484,166195.874680336070014,B287,Nostrand Ave. between Ave. L and Ave. K,N,Andries Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Andries Playground (JHS 240),42034.69680380000,1013.53812526000,11210,B5,G6350,S
987178.634934944333509,180180.383633194025606,B288,6 Ave. between 18 St. and 19 St.,N,Slope Park,B,Y-CONFSTA-PARK,Jointly Operated Playground,Slope Park,31423.84874980000,715.35267511200,11215,B5,G6350,S
1004426.957460264326073,164486.161332643008791,B291,Ave. N between E. 49 St. and Utica Ave.,N,Power Playground,B,N-CONFSTA-PARK,Neighborhood Park,Power Playground,101837.50472600000,1403.30965927000,11234,B5,G6350,S
994642.014399110688828,191624.826091671682661,B292,Willoughby Ave. between Stuben St. and Emerson Pl.,N,Pratt Playground,B,Y-CONFSTA-PARK,Neighborhood Park,Pratt Playground,40000.01013130000,800.00041126000,11205,B5,G6350,S
995187.06943707598839,190456.546070717420662,B293,Lafayette Ave. and Classon Ave.,N,Classon Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Classon Playground (PS 270),59732.30063300000,1059.84586787000,11238,B5,G6350,S
990837.359381883987226,193433.475191115750931,B295,Flushing Ave. between N. Portland Ave. and N. Oxford St.,N,Oxport Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Oxport Playground (PS 265),45100.02655400000,1025.15916478000,11205,B5,G6350,S
990250.055088563705795,149164.082807302678702,B296,Surf Ave. between W. 12 St. and W. 8 St.,N,Luna Park,B,Y-CONFSTA-PARK,Neighborhood Park,Luna Park,74498.28704430000,1445.25051092000,11224,B5,G6350,S
989629.944763940642588,174563.815489305125084,B297,"Albemarle Rd., Dahill Rd., Mcdonald Ave.",N,Albemarle Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Albemarle Playground (PS 230),35280.02810880000,857.45075207300,11218,B5,G6350,S
998483.49170139268972,193316.414451215736335,B298,"Park Ave., Martin Luther King Pl., Marcy Ave.",N,Stockton Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Stockton Playground (PS 297),47754.50857180000,1041.94294381000,11206,B5,G6350,S
