ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
B065-ZN05,Ocean Parkway Malls Zone 5,4/7/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B065-ZN06,Ocean Parkway Malls Zone 6,12/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B065-ZN07,Ocean Parkway Malls Zone 7,7/17/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B065-ZN08,Ocean Parkway Malls Zone 8,4/7/2014,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Unacceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B065-ZN09,Ocean Parkway Malls Zone 9,10/10/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,Unacceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B065-ZN10,Ocean Parkway Malls Zone 10,2/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B066,Owl's Head Park,8/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B066-01,Owls Head Park,11/18/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B066-02,Owls Head Park,11/8/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Acceptable,,,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B068-01,Detective Dillon Stewart  Plgd,7/30/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable
B073-02,Third St Plgd,2/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Acceptable,Not Rated,
B073-02D,Garfield Tot Lot,8/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Unacceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B073-07,Vanderbilt Playground,11/27/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Unacceptable,Unacceptable,,Unacceptable
B073-09,Imagination Plgd,12/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,Acceptable,Acceptable,,,Not Rated,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B073-10,Lincoln Rd Plgd,4/23/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Unacceptable,
